NTA,Average savings,Total jobs created
Battery Park City-Lower Manhattan,3798151.2388888896,0.0
Bushwick South,307800.03099999996,10.0
Carroll Gardens-Columbia Street-Red Hook,184683.94545454546,0.0
College Point,574250.8085714286,2.0
Crown Heights North,17168.966666666667,0.0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,437390.5,0.0
East New York,457945.40111111116,15.0
East Williamsburg,143369.4790909091,0.0
Greenpoint,177222.05857142858,0.0
Hunters Point-Sunnyside-West Maspeth,160609.31960000002,0.0
Hunts Point,397635.44923076924,12.0
Manhattanville,22030.588888888888,0.0
Maspeth,20783.175555555554,10.0
Mott Haven-Port Morris,159905.58428571429,10.0
Queensbridge-Ravenswood-Long Island City,447198.665,0.0
Steinway,255769.45285714284,20.0
Sunset Park West,139256.485,0.0
park-cemetery-etc-Brooklyn,36740.328,0.0
